City	State	lat	lon	Amount
SCIO	NY	42.17	-77.97	150.0
SCOTTSVILLE	NY	43.02	-77.75	150.0
SEA ISLAND	GA	31.18	-81.35	1000.0
SEABROOK	TX	29.56	-95.02	500.0
SEATTLE	WA	47.61	-122.33	1000.0
SEATTLE	WA	47.68	-122.38	500.0
SEBASTOPOL	CA	38.4	-122.86	250.0
SEDONA	AZ	34.94	-111.94	500.0
SENECA	PA	41.37	-79.7	1500.0
SENECA FALLS	NY	42.91	-76.79	1010.0
SEWICKLEY	PA	40.53	-80.18	1000.0
SHERMAN	NY	42.16	-79.59	1000.0
SHERRILLS FORD	NC	35.6204121	-80.9864655	1000.0
SHIRLEY	NY	40.79	-72.87	1000.0
SILVER CREEK	NY	42.54	-79.16	500.0
SILVER SPRING	MD	38.99066570000001	-77.026088	12500.0
SINCLAIRVILLE	NY	42.26	-79.25	125.0
SIOUX FALLS	SD	43.54	-96.73	1000.0
SLATERVILLE SPRINGS	NY	42.39	-76.35	75.0
SLEEPY HOLLOW	NY	41.06	-73.86	500.0
SMETHPORT	PA	41.8	-78.44	1000.0
SNYDER	NY	42.88	-78.85	500.0
SOUTH DAYTON	NY	42.36	-79.05	75.0
SOUTH DENNIS	MA	38.66	-80.71	1000.0
SPENCER	NY	42.21	-76.49	860.0
SPENCERPORT	NY	43.18	-77.8	9050.0
SPRING	TX	30.06	-95.38	2600.0
SPRINGFIELD	MO	37.19	-93.28	500.0
SPRINGFIELD	VA	38.7892801	-77.18720359999999	31000.0
SPRINGVILLE	NY	42.5	-78.67	500.0
STAMFORD	CT	41.09	-73.55	2750.0
STANLEY	NY	42.82	-77.12	500.0
STOW	NY	42.15	-79.41	75.0
SUMMIT	NJ	40.71	-74.36	1500.0
SYRACUSE	NY	43.04	-76.14	9650.0
TAKOMA PARK	MD	38.9778882	-77.0074765	1000.0
TAMPA	FL	27.95	-82.48	27338.36
TARRYTOWN	NY	41.06	-73.86	5000.0
THE WOODLANDS	TX	30.06	-95.38	5700.0
THIBODAUX	LA	29.79	-90.82	2500.0
TIFTON	GA	31.46	-83.51	1500.0
TOPEKA	KS	39.03	-95.69	2500.0
TRUMANSBURG	NY	42.54	-76.66	2350.0
TUCSON	AZ	32.25	-111.08	6000.0
TULSA	OK	36.12	-95.91	2000.0
TYLER	TX	32.32	-95.3	2600.0
TYRONE	NY	42.4	-77.05	250.0
UWCHLAND	PA	40.06	-75.65	1000.0
VENICE	FL	27.09	-82.43	100.0
VERO BEACH	FL	27.64	-80.39	1000.0
VICTOR	NY	42.98	-77.41	45015.0
VIENNA	VA	38.9012225	-77.2652604	3250.0
VISALIA	CA	36.33	-119.29	3000.0
W HENRIETTA	NY	43.03	-77.69	1250.0
WAHPETON	ND	46.26	-96.6	2000.0
WAKEFIELD	RI	41.4381721	-71.50155459999999	500.0
WALLINGFORD	PA	39.89	-75.37	500.0
WALTHAM	MA	42.38	-71.24	50.0
WARSAW	IN	41.2381	-85.8530469	500.0
WASHINGTON	DC	38.9071923	-77.0368707	1918808.4
WATERLOO	IA	42.49	-92.35	250.0
WATERLOO	NY	42.9	-76.86	4165.0
WATKINS GLEN	NY	42.38	-76.87	4515.0
WAXHAW	NC	34.9245935	-80.7434019	13300.0
WAYLAND	NY	42.56	-77.59	1199.0
WEBSTER	NY	43.21	-77.42	10700.0
WEBSTER	TX	29.53	-95.11	1000.0
WELLESLEY HILLS	MA	42.31	-71.27	6400.0
WELLFLEET	MA	41.93	-70.03	500.0
WELLFLEET	MA	41.93054679999999	-70.03097530000001	1000.0
WELLSBURG	NY	42.01	-76.72	100.0
WELLSVILLE	NY	42.12	-77.94	30885.0
WENHAM	MA	42.6	-70.88	500.0
WEST CHESTER	OH	39.33	-84.4	1500.0
WEST HENRIETTA	NY	43.03	-77.69	2000.0
WEST LAKE HILLS	TX	30.26	-97.74	1000.0
WEST VALLEY	NY	42.43	-78.62	2000.0
WESTBOROUGH	MA	42.2695216	-71.61612939999999	2600.0
WESTFIELD	NY	42.32	-79.57	600.0
WESTON	MA	42.36	-71.26	2500.0
WESTONS MILLS	NY	42.07	-78.35	500.0
WEXFORD	PA	40.63	-80.05	250.0
WHITE PLAINS	NY	41.02	-73.75	6775.0
WHITESVILLE	NY	42.03	-77.8	250.0
WICHITA	KS	37.68	-97.34	2000.0
WILLIAMSVILLE	NY	42.88	-78.85	19000.0
WILMETTE	IL	42.0722513	-87.7228384	250.0
WILMINGTON	DE	39.73	-75.53	3000.0
